"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category"
"ACTU2","","ACTU2","Acarospora tucsonensis","","Acarospora","","tucsonensis","","","","","","","","","","","H. Magn.","","","","","Tucson cracked lichen","Lichen"
"ACUT","","ACUT","Acarospora utahensis","","Acarospora","","utahensis","","","","","","","","","","","H. Magn.","","","","","Utah cracked lichen","Lichen"
"ACVE4","","ACVE4","Acarospora veronensis","","Acarospora","","veronensis","","","","","","","","","","","A. Massal.","","","","","cracked lichen","Lichen"
"ACWA2","","ACWA2","Acarospora washingtonensis","","Acarospora","","washingtonensis","","","","","","","","","","","H. Magn.","","","","","Washington cracked lichen","Lichen"
"ACCA37","","ACCA37","Achyranthes canescens","","Achyranthes","","canescens","","","","","","","","","","","R. Br.","","","","","","Dicot"
"ACCA18","","ACCA18","Acrocordia cavata","","Acrocordia","","cavata","","","","","","","","","","","(Ach.) R.C. Harris","","","","","acrocordia lichen","Lichen"
"ACCO12","","ACCO12","Acrocordia conoidea","","Acrocordia","","conoidea","","","","","","","","","","","(Fr.) Körb.","","","","","acrocordia lichen","Lichen"
"ACGE5","","ACGE5","Acrocordia gemmata","","Acrocordia","","gemmata","","","","","","","","","","","(Ach.) A. Massal.","","","","","acrocordia lichen","Lichen"
"ACME4","","ACME4","Acrocordia megalospora","","Acrocordia","","megalospora","","","","","","","","","","","(Fink) R.C. Harris","","","","","acrocordia lichen","Lichen"
"ACSP11","","ACSP11","Acroscyphus sphaerophoroides","","Acroscyphus","","sphaerophoroides","","","","","","","","","","","Leveille","","","","","","Lichen"
"ACPE2","","ACPE2","Actinostachys pennula","","Actinostachys","","pennula","","","","","","","","","","","(Sw.) Hook.","","","","","ray fern","Fern"
"ADAL2","","ADAL2","Adelococcus alpestris","","Adelococcus","","alpestris","","","","","","","","","","","(Zopf) Theiss. & Sydow","","","","","","Lichen"
"ADKO","","ADKO","Adelolecia kolaensis","","Adelolecia","","kolaensis","","","","","","","","","","","(Nyl.) Hertel & Rambold","","","","","","Lichen"
"ADPI2","","ADPI2","Adelolecia pilati","","Adelolecia","","pilati","","","","","","","","","","","(Hepp) Hertel & Hafellner","","","","","adelolecia lichen","Lichen"
"AGTR8","","AGTR8","Agonimia tristicula","","Agonimia","","tristicula","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","agonimia lichen","Lichen"
"AGHI60","","AGHI60","Agrestia hispida","","Agrestia","","hispida","","","","","","","","","","","(Mereschk.) Hale & W.L. Culb.","","","","","hispid agrestia lichen","Lichen"
"AGRU3","","AGRU3","Agyrium rufum","","Agyrium","","rufum","","","","","","","","","","","(Pers.) Fr.","","","","","agyrium lichen","Lichen"
"AHAU","","AHAU","Ahtiana aurescens","","Ahtiana","","aurescens","","","","","","","","","","","(Tuck.) A. Thell & Randlane","","","","","","Lichen"
"AHPA","","AHPA","Ahtiana pallidula","","Ahtiana","","pallidula","","","","","","","","","","","(Tuck. ex Riddle) Goward & A. Thell","","","","","","Lichen"
"AHSP","","AHSP","Ahtiana sphaerosporella","","Ahtiana","","sphaerosporella","","","","","","","","","","","(Müll. Arg.) Goward","","","","","ahtiana lichen","Lichen"
"ALFA60","","ALFA60","Alectoria fallacina","","Alectoria","","fallacina","","","","","","","","","","","Mot.","","","","","witch's hair lichen","Lichen"
"ALIM","","ALIM","Alectoria imshaugii","","Alectoria","","imshaugii","","","","","","","","","","","Brodo & D. Hawksw.","","","","","Imshaug's witch's hair lichen","Lichen"
"ALLA9","","ALLA9","Alectoria lata","","Alectoria","","lata","","","","","","","","","","","(Taylor) Lindsay","","","","","witch's hair lichen","Lichen"
"ALNI60","","ALNI60","Alectoria nigricans","","Alectoria","","nigricans","","","","","","","","","","","(Ach.) Nyl.","","","","","witch's hair lichen","Lichen"
"ALOC60","","ALOC60","Alectoria ochroleuca","","Alectoria","","ochroleuca","","","","","","","","","","","(Hoffm.) A. Massal.","","","","","witch's hair lichen","Lichen"
"ALSA9","","ALSA9","Alectoria sarmentosa","","Alectoria","","sarmentosa","","","","","","","","","","","(Ach.) Ach.","","","","","witch's hair lichen","Lichen"
"ALVA5","","ALVA5","Alectoria vancouverensis","","Alectoria","","vancouverensis","","","","","","","","","","","(Gyel.) Gyel. ex Brodo & D. Hawksw.","","","","","Vancouver witch's hair lichen","Lichen"
"ALAL60","","ALAL60","Allantoparmelia almquistii","","Allantoparmelia","","almquistii","","","","","","","","","","","(Vain.) Essl.","","","","","Almquist's allantoparmelia lichen","Lichen"
"ALAL61","","ALAL61","Allantoparmelia alpicola","","Allantoparmelia","","alpicola","","","","","","","","","","","(Th. Fr.) Essl.","","","","","allantoparmelia lichen","Lichen"
"ALSI7","","ALSI7","Allantoparmelia siberica","","Allantoparmelia","","siberica","","","","","","","","","","","(Zahlbr.) Essl.","","","","","","Lichen"
"ALOA","","ALOA","Allocetraria oaksiana","","Allocetraria","","oaksiana","","","","","","","","","","","(Tuck.) Randlane & A. Thell","","","","","","Lichen"
"ALTI2","","ALTI2","Allophylus timorensis","","Allophylus","","timorensis","","","","","","","","","","","(DC.) Blume","","","","","","Dicot"
"AMCO17","","AMCO17","Amandinea coniops","","Amandinea","","coniops","","","","","","","","","","","(Wahlenb.) Scheid. & H. Mayrh.","","","","","","Lichen"
"AMDA","","AMDA","Amandinea dakotensis","","Amandinea","","dakotensis","","","","","","","","","","","(H. Magn.) P. May & Sheard","","","","","","Lichen"
"AMLE3","","AMLE3","Amandinea leucomela","","Amandinea","","leucomela","","","","","","","","","","","(Imshaug) P. May & Sheard","","","","","","Lichen"
"AMMI7","","AMMI7","Amandinea milliaria","","Amandinea","","milliaria","","","","","","","","","","","(Tuck.) P. May & Sheard","","","","","","Lichen"
"AMPO8","","AMPO8","Amandinea polyspora","","Amandinea","","polyspora","","","","","","","","","","","(Willey) E. Lay & P. May","","","","","","Lichen"
"AMPU9","","AMPU9","Amandinea punctata","","Amandinea","","punctata","","","","","","","","","","","(Hoffm.) Coppins & Scheid.","","","","","","Lichen"
"AMCO10","","AMCO10","Amygdalaria consentiens","","Amygdalaria","","consentiens","","","","","","","","","","","(Nyl.) Hertel, Brodo & Mas. Inoue","","","","","amygdalaria lichen","Lichen"
