"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","Class","Division","Kingdom"
"ABUTI","","ABUTI","Abutilon","","Abutilon","","","","","","","","","","","","","Mill.","","","","","Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABAB","","ABAB","Abutilon abutiloides","","Abutilon","","abutiloides","","","","","","","","","","","(Jacq.) Garcke ex Hochr.","","","","","shrubby Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABAU","","ABAU","Abutilon auritum","","Abutilon","","auritum","","","","","","","","","","","(Wall. ex Link) Sweet","","","","","Asian Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABBE","","ABBE","Abutilon berlandieri","","Abutilon","","berlandieri","","","","","","","","","","","A. Gray ex S. Watson","","","","","Berlandier's Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABER","","ABER","Abutilon eremitopetalum","","Abutilon","","eremitopetalum","","","","","","","","","","","Caum","","","","","hiddenpetal Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABFR3","","ABFR3","Abutilon fruticosum","","Abutilon","","fruticosum","","","","","","","","","","","Guill. & Perr.","","","","","Texas Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABGL","","ABGL","Abutilon glabriflorum","","Abutilon","","glabriflorum","","","","","","","","","","","Hochr. [excluded]","","","","","","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABGR3","","ABGR3","Abutilon grandifolium","","Abutilon","","grandifolium","","","","","","","","","","","(Willd.) Sweet","","","","","hairy Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABHI","","ABHI","Abutilon hirtum","","Abutilon","","hirtum","","","","","","","","","","","(Lam.) Sweet","","","","","Florida Keys Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABHU","","ABHU","Abutilon hulseanum","","Abutilon","","hulseanum","","","","","","","","","","","(Torr. & A. Gray) Torr. ex A. Gray","","","","","mauve","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABHY","","ABHY","Abutilon hypoleucum","","Abutilon","","hypoleucum","","","","","","","","","","","A. Gray","","","","","whiteleaf Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABIN","","ABIN","Abutilon incanum","","Abutilon","","incanum","","","","","","","","","","","(Link) Sweet","","","","","pelotazo","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABIN3","","ABIN3","Abutilon indicum","","Abutilon","","indicum","","","","","","","","","","","(L.) Sweet","","","","","monkeybush","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABINA","","ABINA","Abutilon indicum ssp. albescens","","Abutilon","","indicum","ssp.","","albescens","","","","","","","","(L.) Sweet","(Miq.) Borss. Waalk.","","","","","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABMA3","","ABMA3","Abutilon malacum","","Abutilon","","malacum","","","","","","","","","","","S. Watson","","","","","yellow Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABMA8","","ABMA8","Abutilon mauritianum","","Abutilon","","mauritianum","","","","","","","","","","","(Jacq.) Medik.","","","","","","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABME3","","ABME3","Abutilon megapotamicum","","Abutilon","","megapotamicum","","","","","","","","","","","(A. Spreng.) A. St.-Hil. & Naudin","","","","","trailing abutilon","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABME2","","ABME2","Abutilon menziesii","","Abutilon","","menziesii","","","","","","","","","","","Seem.","","","","","ko'oloa 'ula","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABMO2","","ABMO2","Abutilon mollicomum","","Abutilon","","mollicomum","","","","","","","","","","","(Willd.) Sweet","","","","","Sonoran Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABPA","","ABPA","Abutilon palmeri","","Abutilon","","palmeri","","","","","","","","","","","A. Gray","","","","","Palmer's Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABPA2","","ABPA2","Abutilon parishii","","Abutilon","","parishii","","","","","","","","","","","S. Watson","","","","","Parish's Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABPA3","","ABPA3","Abutilon parvulum","","Abutilon","","parvulum","","","","","","","","","","","A. Gray","","","","","dwarf Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABPE","","ABPE","Abutilon permolle","","Abutilon","","permolle","","","","","","","","","","","(Willd.) Sweet","","","","","coastal Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABRE","","ABRE","Abutilon reventum","","Abutilon","","reventum","","","","","","","","","","","S. Watson","","","","","yellowflower Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABSA2","","ABSA2","Abutilon sandwicense","","Abutilon","","sandwicense","","","","","","","","","","","(O. Deg.) Christoph.","","","","","greenflower Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABTH","","ABTH","Abutilon theophrasti","","Abutilon","","theophrasti","","","","","","","","","","","Medik.","","","","","velvetleaf","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABTH2","","ABTH2","Abutilon thurberi","","Abutilon","","thurberi","","","","","","","","","","","A. Gray","","","","","Thurber's Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABTR","","ABTR","Abutilon trisulcatum","","Abutilon","","trisulcatum","","","","","","","","","","","(Jacq.) Urb.","","","","","anglestem Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABWR","","ABWR","Abutilon wrightii","","Abutilon","","wrightii","","","","","","","","","","","A. Gray","","","","","Wright's Indian mallow","Dicot","Abutilon","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ACACI","","ACACI","Acacia","","Acacia","","","","","","","","","","","","","Mill.","","","","","acacia","Dicot","Acacia","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
